"","region","year","nutrient_name","units_rni","byReg_rni","pop","byRegC_rni","scenario","nutrient_units","total_micronutrient_intake"
"32","Africa_Eastern",2010,"vitamin b12","mcg/capita/day",1166960682.12187,715778491.815595,1.63033773082764,"RvsM_SW_newDS_Reference","mcg/capita/day",1.20795449301062
"33","Africa_Eastern",2010,"vitamin b12","mcg/capita/day",1166960682.12187,715778491.815595,1.63033773082764,"RvsM_RreducedRandom_0.45","mcg/capita/day",1.20795449301062
"34","Africa_Eastern",2010,"vitamin b6","mg/capita/day",793411850.824376,715778491.815595,1.1084600332316,"RvsM_SW_newDS_Reference","mg/capita/day",1.77118218707813
"35","Africa_Eastern",2010,"vitamin b6","mg/capita/day",793411850.824376,715778491.815595,1.1084600332316,"RvsM_SW_newDS_FuelPrefElast_0.45","mg/capita/day",1.77118218707813
"36","Africa_Eastern",2010,"vitamin b6","mg/capita/day",793411850.824376,715778491.815595,1.1084600332316,"RvsM_RreducedRandom_0.45","mg/capita/day",1.77118218707813
"37","Africa_Eastern",2010,"vitamin c","mg/capita/day",30360801678.2011,765998999.979258,39.6355630738725,"RvsM_RreducedRandom_0.45","mg/capita/day",83.1498013963985
"38","Africa_Eastern",2010,"vitamin c","mg/capita/day",30360801678.2011,765998999.979258,39.6355630738725,"RvsM_SW_newDS_FuelPrefElast_0.45","mg/capita/day",83.1498013963985
"39","Africa_Eastern",2010,"vitamin c","mg/capita/day",30360801678.2011,765998999.979258,39.6355630738725,"RvsM_SW_newDS_Reference","mg/capita/day",83.1498013963985
"40","Africa_Eastern",2010,"vitamin d","mcg/capita/day",4326586185.61033,765998999.979258,5.64829221151397,"RvsM_RreducedRandom_0.45","mcg/capita/day",0.34550131923997
"41","Africa_Eastern",2010,"vitamin d","mcg/capita/day",4326586185.61033,765998999.979258,5.64829221151397,"RvsM_SW_newDS_FuelPrefElast_0.45","mcg/capita/day",0.34550131923997
"42","Africa_Eastern",2010,"vitamin d","mcg/capita/day",4326586185.61033,765998999.979258,5.64829221151397,"RvsM_SW_newDS_Reference","mcg/capita/day",0.34550131923997
"43","Africa_Eastern",2010,"vitamin k","mcg/capita/day",33823957949.6474,765998999.979258,44.1566607143917,"RvsM_SW_newDS_FuelPrefElast_0.45","mcg/capita/day",48.7822860631657
"44","Africa_Eastern",2010,"vitamin k","mcg/capita/day",33823957949.6474,765998999.979258,44.1566607143917,"RvsM_SW_newDS_Reference","mcg/capita/day",48.7822860631657
"45","Africa_Eastern",2010,"vitamin k","mcg/capita/day",33823957949.6474,765998999.979258,44.1566607143917,"RvsM_RreducedRandom_0.45","mcg/capita/day",48.7822860631657
"46","Africa_Eastern",2010,"zinc","mg/capita/day",30880925290.4159,715778491.815595,43.1431310712976,"RvsM_SW_newDS_FuelPrefElast_0.45","mg/capita/day",11.066529844286
"47","Africa_Eastern",2010,"zinc","mg/capita/day",30880925290.4159,715778491.815595,43.1431310712976,"RvsM_RreducedRandom_0.45","mg/capita/day",11.066529844286
"48","Africa_Eastern",2010,"zinc","mg/capita/day",30880925290.4159,715778491.815595,43.1431310712976,"RvsM_SW_newDS_Reference","mg/capita/day",11.066529844286
"49","Africa_Eastern",2015,"calcium","mg/capita/day",849744327373.588,877680000.219362,968.171004422121,"RvsM_SW_newDS_FuelPrefElast_0.45","mg/capita/day",461.933707736281
"50","Africa_Eastern",2015,"calcium","mg/capita/day",849744327373.588,877680000.219362,968.171004422121,"RvsM_SW_newDS_Reference","mg/capita/day",461.933707736281
"51","Africa_Eastern",2015,"calcium","mg/capita/day",849744327373.588,877680000.219362,968.171004422121,"RvsM_RreducedRandom_0.45","mg/capita/day",461.933707736281
"52","Africa_Eastern",2015,"folate","mcg/capita/day",223924859674.324,817997031.308695,273.747765705301,"RvsM_SW_newDS_FuelPrefElast_0.45","mcg/capita/day",366.490627619753
"53","Africa_Eastern",2015,"folate","mcg/capita/day",223924859674.324,817997031.308695,273.747765705301,"RvsM_SW_newDS_Reference","mcg/capita/day",366.490627619753
"54","Africa_Eastern",2015,"folate","mcg/capita/day",223924859674.324,817997031.308695,273.747765705301,"RvsM_RreducedRandom_0.45","mcg/capita/day",366.490627619753
"55","Africa_Eastern",2015,"iron","mg/capita/day",9658667897.54278,817997031.308695,11.8077053190402,"RvsM_RreducedRandom_0.45","mg/capita/day",16.8843601055933
"56","Africa_Eastern",2015,"iron","mg/capita/day",9658667897.54278,817997031.308695,11.8077053190402,"RvsM_SW_newDS_FuelPrefElast_0.45","mg/capita/day",16.8843601055933
"57","Africa_Eastern",2015,"iron","mg/capita/day",9658667897.54278,817997031.308695,11.8077053190402,"RvsM_SW_newDS_Reference","mg/capita/day",16.8843601055933
"58","Africa_Eastern",2015,"magnesium","mg/capita/day",150615198516.558,817997031.308695,184.126827790062,"RvsM_RreducedRandom_0.45","mg/capita/day",533.601212416427
"59","Africa_Eastern",2015,"magnesium","mg/capita/day",150615198516.558,817997031.308695,184.126827790062,"RvsM_SW_newDS_FuelPrefElast_0.45","mg/capita/day",533.601212416427
"60","Africa_Eastern",2015,"magnesium","mg/capita/day",150615198516.558,817997031.308695,184.126827790062,"RvsM_SW_newDS_Reference","mg/capita/day",533.601212416427
"61","Africa_Eastern",2015,"niacin","mg/capita/day",10695014970.4513,817997031.308695,13.0746378789916,"RvsM_SW_newDS_Reference","mg/capita/day",17.5481637328906
"62","Africa_Eastern",2015,"niacin","mg/capita/day",10695014970.4513,817997031.308695,13.0746378789916,"RvsM_RreducedRandom_0.45","mg/capita/day",17.5481637328906
"63","Africa_Eastern",2015,"niacin","mg/capita/day",10695014970.4513,817997031.308695,13.0746378789916,"RvsM_SW_newDS_FuelPrefElast_0.45","mg/capita/day",17.5481637328906
"64","Africa_Eastern",2015,"riboflavin","mg/capita/day",825905377.916066,817997031.308695,1.00966794047494,"RvsM_RreducedRandom_0.45","mg/capita/day",1.80229705410252
"65","Africa_Eastern",2015,"riboflavin","mg/capita/day",825905377.916066,817997031.308695,1.00966794047494,"RvsM_SW_newDS_FuelPrefElast_0.45","mg/capita/day",1.80229705410252
"66","Africa_Eastern",2015,"riboflavin","mg/capita/day",825905377.916066,817997031.308695,1.00966794047494,"RvsM_SW_newDS_Reference","mg/capita/day",1.80229705410252
"67","Africa_Eastern",2015,"selenium","mcg/capita/day",23426906419.2594,877680000.219362,26.6918539939434,"RvsM_SW_newDS_Reference","mcg/capita/day",100.488856355702
"68","Africa_Eastern",2015,"selenium","mcg/capita/day",23426906419.2594,877680000.219362,26.6918539939434,"RvsM_SW_newDS_FuelPrefElast_0.45","mcg/capita/day",100.488856355702
"69","Africa_Eastern",2015,"selenium","mcg/capita/day",23426906419.2594,877680000.219362,26.6918539939434,"RvsM_RreducedRandom_0.45","mcg/capita/day",100.488856355702
"70","Africa_Eastern",2015,"sodium","mg/capita/day",750190737597.981,817997031.308695,917.106919566404,"RvsM_SW_newDS_FuelPrefElast_0.45","mg/capita/day",1540.99572798252
"71","Africa_Eastern",2015,"sodium","mg/capita/day",750190737597.981,817997031.308695,917.106919566404,"RvsM_SW_newDS_Reference","mg/capita/day",1540.99572798252
"72","Africa_Eastern",2015,"sodium","mg/capita/day",750190737597.981,817997031.308695,917.106919566404,"RvsM_RreducedRandom_0.45","mg/capita/day",1540.99572798252
"73","Africa_Eastern",2015,"thiamin","mg/capita/day",876438535.38151,877680000.219362,0.998585515407048,"RvsM_RreducedRandom_0.45","mg/capita/day",1.90209371899621
"74","Africa_Eastern",2015,"thiamin","mg/capita/day",876438535.38151,877680000.219362,0.998585515407048,"RvsM_SW_newDS_FuelPrefElast_0.45","mg/capita/day",1.90209371899621
"75","Africa_Eastern",2015,"thiamin","mg/capita/day",876438535.38151,877680000.219362,0.998585515407048,"RvsM_SW_newDS_Reference","mg/capita/day",1.90209371899621
"76","Africa_Eastern",2015,"vitamin a","mcg/capita/day",266432219002.827,877680000.219362,303.564190748606,"RvsM_RreducedRandom_0.45","mcg/capita/day",144.937616951467
"77","Africa_Eastern",2015,"vitamin a","mcg/capita/day",266432219002.827,877680000.219362,303.564190748606,"RvsM_SW_newDS_Reference","mcg/capita/day",144.937616951467
"78","Africa_Eastern",2015,"vitamin a","mcg/capita/day",266432219002.827,877680000.219362,303.564190748606,"RvsM_SW_newDS_FuelPrefElast_0.45","mcg/capita/day",144.937616951467
"79","Africa_Eastern",2015,"vitamin b12","mcg/capita/day",1346949879.83527,817997031.308695,1.64664397092043,"RvsM_SW_newDS_Reference","mcg/capita/day",1.15072233095358
"80","Africa_Eastern",2015,"vitamin b12","mcg/capita/day",1346949879.83527,817997031.308695,1.64664397092043,"RvsM_RreducedRandom_0.45","mcg/capita/day",1.15072233095358
"81","Africa_Eastern",2015,"vitamin b12","mcg/capita/day",1346949879.83527,817997031.308695,1.64664397092043,"RvsM_SW_newDS_FuelPrefElast_0.45","mcg/capita/day",1.15072233095358
"82","Africa_Eastern",2015,"vitamin b6","mg/capita/day",915398789.546586,817997031.308695,1.11907348622288,"RvsM_SW_newDS_FuelPrefElast_0.45","mg/capita/day",1.86256896485706
"83","Africa_Eastern",2015,"vitamin b6","mg/capita/day",915398789.546586,817997031.308695,1.11907348622288,"RvsM_SW_newDS_Reference","mg/capita/day",1.86256896485706
"84","Africa_Eastern",2015,"vitamin b6","mg/capita/day",915398789.546586,817997031.308695,1.11907348622288,"RvsM_RreducedRandom_0.45","mg/capita/day",1.86256896485706
"85","Africa_Eastern",2015,"vitamin c","mg/capita/day",34969606282.5527,877680000.219362,39.8432301907444,"RvsM_SW_newDS_FuelPrefElast_0.45","mg/capita/day",83.927959421096
"86","Africa_Eastern",2015,"vitamin c","mg/capita/day",34969606282.5527,877680000.219362,39.8432301907444,"RvsM_RreducedRandom_0.45","mg/capita/day",83.927959421096
"87","Africa_Eastern",2015,"vitamin c","mg/capita/day",34969606282.5527,877680000.219362,39.8432301907444,"RvsM_SW_newDS_Reference","mg/capita/day",83.927959421096
"88","Africa_Eastern",2015,"vitamin d","mcg/capita/day",4978157418.93897,877680000.219362,5.67195038931587,"RvsM_SW_newDS_FuelPrefElast_0.45","mcg/capita/day",0.317926045861337
"89","Africa_Eastern",2015,"vitamin d","mcg/capita/day",4978157418.93897,877680000.219362,5.67195038931587,"RvsM_RreducedRandom_0.45","mcg/capita/day",0.317926045861337
"90","Africa_Eastern",2015,"vitamin d","mcg/capita/day",4978157418.93897,877680000.219362,5.67195038931587,"RvsM_SW_newDS_Reference","mcg/capita/day",0.317926045861337
"91","Africa_Eastern",2015,"vitamin k","mcg/capita/day",39293237186.5641,877680000.219362,44.7694343915133,"RvsM_SW_newDS_FuelPrefElast_0.45","mcg/capita/day",48.7248277036051
"92","Africa_Eastern",2015,"vitamin k","mcg/capita/day",39293237186.5641,877680000.219362,44.7694343915133,"RvsM_RreducedRandom_0.45","mcg/capita/day",48.7248277036051
"93","Africa_Eastern",2015,"vitamin k","mcg/capita/day",39293237186.5641,877680000.219362,44.7694343915133,"RvsM_SW_newDS_Reference","mcg/capita/day",48.7248277036051
"94","Africa_Eastern",2015,"zinc","mg/capita/day",35812758047.8497,817997031.308695,43.7810366995509,"RvsM_SW_newDS_FuelPrefElast_0.45","mg/capita/day",11.5267671561483
"95","Africa_Eastern",2015,"zinc","mg/capita/day",35812758047.8497,817997031.308695,43.7810366995509,"RvsM_RreducedRandom_0.45","mg/capita/day",11.5267671561483
"96","Africa_Eastern",2015,"zinc","mg/capita/day",35812758047.8497,817997031.308695,43.7810366995509,"RvsM_SW_newDS_Reference","mg/capita/day",11.5267671561483
"97","Africa_Eastern",2020,"calcium","mg/capita/day",956955117572.676,982956000.387477,973.548273977115,"RvsM_RreducedRandom_0.45","mg/capita/day",459.370981932748
"98","Africa_Eastern",2020,"calcium","mg/capita/day",956955117572.676,982956000.387477,973.548273977115,"RvsM_SW_newDS_Reference","mg/capita/day",468.59283526815
"99","Africa_Eastern",2020,"calcium","mg/capita/day",956955117572.676,982956000.387477,973.548273977115,"RvsM_SW_newDS_FuelPrefElast_0.45","mg/capita/day",455.914014017151
"100","Africa_Eastern",2020,"folate","mcg/capita/day",251914728901.968,912845824.936888,275.966348336407,"RvsM_SW_newDS_Reference","mcg/capita/day",372.848591810816
"101","Africa_Eastern",2020,"folate","mcg/capita/day",251914728901.968,912845824.936888,275.966348336407,"RvsM_SW_newDS_FuelPrefElast_0.45","mcg/capita/day",373.119184753627
"102","Africa_Eastern",2020,"folate","mcg/capita/day",251914728901.968,912845824.936888,275.966348336407,"RvsM_RreducedRandom_0.45","mcg/capita/day",373.138312413787
"103","Africa_Eastern",2020,"iron","mg/capita/day",10892868937.5999,912845824.936888,11.9328682237803,"RvsM_RreducedRandom_0.45","mg/capita/day",17.0069261264303
"104","Africa_Eastern",2020,"iron","mg/capita/day",10892868937.5999,912845824.936888,11.9328682237803,"RvsM_SW_newDS_Reference","mg/capita/day",16.9841243375885
"105","Africa_Eastern",2020,"iron","mg/capita/day",10892868937.5999,912845824.936888,11.9328682237803,"RvsM_SW_newDS_FuelPrefElast_0.45","mg/capita/day",17.0129121793523
"106","Africa_Eastern",2020,"magnesium","mg/capita/day",170151799113.005,912845824.936888,186.39708312712,"RvsM_RreducedRandom_0.45","mg/capita/day",536.972284231446
"107","Africa_Eastern",2020,"magnesium","mg/capita/day",170151799113.005,912845824.936888,186.39708312712,"RvsM_SW_newDS_FuelPrefElast_0.45","mg/capita/day",537.114145089655
"108","Africa_Eastern",2020,"magnesium","mg/capita/day",170151799113.005,912845824.936888,186.39708312712,"RvsM_SW_newDS_Reference","mg/capita/day",536.139462208157
"109","Africa_Eastern",2020,"niacin","mg/capita/day",12023545926.7237,912845824.936888,13.1714968708489,"RvsM_SW_newDS_FuelPrefElast_0.45","mg/capita/day",17.8937246850357
"110","Africa_Eastern",2020,"niacin","mg/capita/day",12023545926.7237,912845824.936888,13.1714968708489,"RvsM_RreducedRandom_0.45","mg/capita/day",17.8010938729394
"111","Africa_Eastern",2020,"niacin","mg/capita/day",12023545926.7237,912845824.936888,13.1714968708489,"RvsM_SW_newDS_Reference","mg/capita/day",17.6575444430372
"112","Africa_Eastern",2020,"riboflavin","mg/capita/day",929352966.279298,912845824.936888,1.01808316463906,"RvsM_SW_newDS_Reference","mg/capita/day",1.8364597777102
"113","Africa_Eastern",2020,"riboflavin","mg/capita/day",929352966.279298,912845824.936888,1.01808316463906,"RvsM_SW_newDS_FuelPrefElast_0.45","mg/capita/day",1.83718584995635
"114","Africa_Eastern",2020,"riboflavin","mg/capita/day",929352966.279298,912845824.936888,1.01808316463906,"RvsM_RreducedRandom_0.45","mg/capita/day",1.83582095070218
"115","Africa_Eastern",2020,"selenium","mcg/capita/day",26388400488.5225,982956000.387477,26.8459630727319,"RvsM_SW_newDS_FuelPrefElast_0.45","mcg/capita/day",102.18498505145
"116","Africa_Eastern",2020,"selenium","mcg/capita/day",26388400488.5225,982956000.387477,26.8459630727319,"RvsM_SW_newDS_Reference","mcg/capita/day",100.591988538115
"117","Africa_Eastern",2020,"selenium","mcg/capita/day",26388400488.5225,982956000.387477,26.8459630727319,"RvsM_RreducedRandom_0.45","mcg/capita/day",101.859799883921
"118","Africa_Eastern",2020,"sodium","mg/capita/day",813940616820.983,912845824.936888,891.651793310504,"RvsM_SW_newDS_Reference","mg/capita/day",1555.72024049514
"119","Africa_Eastern",2020,"sodium","mg/capita/day",813940616820.983,912845824.936888,891.651793310504,"RvsM_SW_newDS_FuelPrefElast_0.45","mg/capita/day",1560.55638331307
"120","Africa_Eastern",2020,"sodium","mg/capita/day",813940616820.983,912845824.936888,891.651793310504,"RvsM_RreducedRandom_0.45","mg/capita/day",1558.5411688159
"121","Africa_Eastern",2020,"thiamin","mg/capita/day",988942008.851581,982956000.387477,1.00608980306519,"RvsM_SW_newDS_Reference","mg/capita/day",1.91055774599058
"122","Africa_Eastern",2020,"thiamin","mg/capita/day",988942008.851581,982956000.387477,1.00608980306519,"RvsM_RreducedRandom_0.45","mg/capita/day",1.91567329292891
