# File: A_an_subsector.csv
# Title: Subsectors of animal production
# Units: Various
# Source: NA
# Column types: cccnciccccc 
# ----------
supplysector,subsector0,subsector,logit.exponent,year.fillout,share.weight,apply.to,from.year,to.year,interpolation.function,logit.type
Beef,Rumiant,Mixed,-1.5,start-year,1,share-weight,final-calibration-year,end-year,fixed,
Beef,Rumiant,Pastoral,-1.5,start-year,1,share-weight,final-calibration-year,end-year,fixed,
Dairy,Rumiant,Mixed,-1.5,start-year,1,share-weight,final-calibration-year,end-year,fixed,
Dairy,Rumiant,Pastoral,-1.5,start-year,1,share-weight,final-calibration-year,end-year,fixed,
Pork,Monogastric,Mixed,-1.5,start-year,1,share-weight,final-calibration-year,end-year,fixed,
Poultry,Monogastric,Mixed,-1.5,start-year,1,share-weight,final-calibration-year,end-year,fixed,
SheepGoat,Rumiant,Mixed,-1.5,start-year,1,share-weight,final-calibration-year,end-year,fixed,
SheepGoat,Rumiant,Pastoral,-1.5,start-year,1,share-weight,final-calibration-year,end-year,fixed,
