# File: diets_plant_percentage_REF.csv
# Title: SSP2 plant protein intake (plant protein intake / total protein consumption)
# Units: Percentage (0-1)
# Comments: Values considering the IAM COMPACT branch updated with Xin's improvements and an additional sub-sector
# Column types: cccnnnnnnnnnnn
# ----------
scenario,region,Units,X1990,X2005,X2010,X2015,X2020,X2025,X2030,X2035,X2040,X2045,X2050
REF_IAMCOMPACT+XIN,Africa_Eastern,Percentage,0.422462144404774,0.40417228479665,0.477871713678022,0.521545786855293,0.523924582036397,0.526287586147464,0.528235701450894,0.529490246467304,0.530373023929153,0.531023470435176,0.531477553184557
REF_IAMCOMPACT+XIN,Africa_Northern,Percentage,0.268016208500886,0.234878686971876,0.215737757551138,0.197351496910442,0.197422874910156,0.197112777720778,0.196833148099691,0.196502552758219,0.196291174407483,0.196262671550198,0.196469102815151
REF_IAMCOMPACT+XIN,Africa_Southern,Percentage,0.472976421333663,0.534298289664136,0.527780279523884,0.514922362768352,0.518160760095819,0.521045900725398,0.523344338722198,0.524234719671149,0.524619385017767,0.524930802363819,0.525225111765477
REF_IAMCOMPACT+XIN,Africa_Western,Percentage,0.558269274913768,0.628955837732496,0.641816320706514,0.643727342742483,0.644600799923406,0.644040703601226,0.643454899844911,0.643182772315774,0.642695060861382,0.642013735467766,0.641263451904069
REF_IAMCOMPACT+XIN,Argentina,Percentage,0.0159003508948816,0.0127117314268944,0.0194242486123591,0.0269552672931089,0.0271175104018591,0.0272244858290089,0.0273387703000447,0.0273945829755009,0.0274491117746535,0.0275094635849923,0.0275777393991825
REF_IAMCOMPACT+XIN,Australia_NZ,Percentage,0.0621553884202998,0.0617051125984691,0.0750066637855285,0.0747537007855271,0.0748228538701602,0.0747548429618282,0.0747659045528922,0.0747064738944306,0.0747278946108432,0.0748526321727236,0.0751090653070302
REF_IAMCOMPACT+XIN,Brazil,Percentage,0.25429026180784,0.205657698936819,0.188720780920831,0.153904539226027,0.154597615742062,0.155530111850161,0.15637407803882,0.156906207282341,0.157438313574889,0.157967515149418,0.158532560242963
REF_IAMCOMPACT+XIN,Canada,Percentage,0.0723644539389735,0.0972719579582728,0.133363029053267,0.173167918037175,0.173256688306006,0.173035380496102,0.172933014029679,0.172717993407046,0.172672773630373,0.172832525691087,0.173238958048685
REF_IAMCOMPACT+XIN,Central America and Caribbean,Percentage,0.270438600477058,0.274616259412226,0.268472805202218,0.259528463910049,0.26064721393057,0.2614250904964,0.262241820352108,0.262519912641106,0.262784338608446,0.263136813314888,0.263606923599471
REF_IAMCOMPACT+XIN,Central Asia,Percentage,0.0318249661078784,0.0327467410656671,0.0391753911405735,0.0534334682218929,0.0535051096120375,0.0534247559648714,0.0533989247906477,0.0533460084346089,0.0533289214399046,0.0533663878465837,0.0534750879612823
REF_IAMCOMPACT+XIN,China,Percentage,0.145745876978032,0.0889148786462578,0.11002073397799,0.123557872026631,0.123305652473923,0.123209260817344,0.123376403835885,0.123561030510476,0.123862048920027,0.124290653328749,0.124898505700244
REF_IAMCOMPACT+XIN,Colombia,Percentage,0.146355668959397,0.14716142035185,0.108097533886968,0.108090061444576,0.108869747407261,0.109448589266987,0.109792071841696,0.109966011471247,0.110170756533945,0.110451305492979,0.110807664934982
REF_IAMCOMPACT+XIN,EU-12,Percentage,0.0301059764577942,0.0378211648579986,0.0404314394266844,0.0466532803093272,0.0467888315751871,0.0467700794423239,0.0467743776081232,0.046686318987019,0.0466415752023977,0.0466590393236132,0.0467497193405841
REF_IAMCOMPACT+XIN,EU-15,Percentage,0.0620963331527382,0.0665230407955475,0.0725922357710988,0.0813705554303067,0.0814155011801997,0.0813204483556313,0.0812659699069501,0.0811509985091003,0.0811327596153866,0.0812269307764312,0.0814501317186574
REF_IAMCOMPACT+XIN,Europe_Eastern,Percentage,0.0347990484386282,0.0502931771600522,0.0407757270214229,0.0472092178436018,0.0472602700231247,0.0471958951145176,0.0471335841719805,0.0470798686604745,0.0470630785439916,0.0470968946131137,0.0471961694943265
REF_IAMCOMPACT+XIN,Europe_Non_EU,Percentage,0.247456080629802,0.244447212509027,0.245731755616609,0.22159895484366,0.221935389883335,0.221950028263832,0.222039682912423,0.222189039010144,0.222407482391315,0.222738302266577,0.223252281866463
REF_IAMCOMPACT+XIN,European Free Trade Association,Percentage,0.0657629072824375,0.0626553328666347,0.0654622919409348,0.0738561998534642,0.0739798761295294,0.0739308991938685,0.0739230362204596,0.0738497402053672,0.0738615657295708,0.0739725049943473,0.0742089805557871
REF_IAMCOMPACT+XIN,India,Percentage,0.509222189794933,0.426663129595296,0.421123676996816,0.411223344514497,0.41554991842167,0.416805976009256,0.418043228885485,0.42077397701534,0.423618099175019,0.426292987434353,0.428825486848044
REF_IAMCOMPACT+XIN,Indonesia,Percentage,0.510676652710693,0.414904274598587,0.342285007715627,0.238827393985163,0.237838791609925,0.237332451688659,0.236954727373291,0.236889460337892,0.236948659863348,0.23718310552505,0.237655487885189
REF_IAMCOMPACT+XIN,Japan,Percentage,0.0783318947032092,0.0744933394639963,0.0683893245070298,0.0694083281771295,0.069489228273317,0.0694472421983423,0.0694176425493669,0.0693437935546851,0.0693500192363338,0.0694415286045142,0.069636883072903
REF_IAMCOMPACT+XIN,Mexico,Percentage,0.233446872000155,0.200615443981354,0.180588928292081,0.17200509563122,0.17258516872897,0.17291331162978,0.173253747963286,0.173225636721321,0.17327897362459,0.173458193503754,0.173803767262571
