# File: diets_rumin_percentage_REF.csv
# Title: SSP2 ruminant protein intake (ruminant protein intake / total animal protein consumption)
# Units: Percentage (0-1)
# Comments: Values considering the IAM COMPACT branch updated with Xin's improvements and an additional sub-sector
# Column types: cccnnnnnnnnnnn
# ----------
scenario,region,Units,X1990,X2005,X2010,X2015,X2020,X2025,X2030,X2035,X2040,X2045,X2050
REF_IAMCOMPACT+XIN,Africa_Eastern,Percentage,0.822459416643501,0.832023179002262,0.793042067224355,0.776507815307462,0.774261354609683,0.771681923072846,0.769346005728228,0.766992424060909,0.764741897590522,0.762694736994698,0.760904904227058
REF_IAMCOMPACT+XIN,Africa_Northern,Percentage,0.744725131738256,0.717572631989365,0.683417710981289,0.63542365859185,0.634996840458048,0.634461167326712,0.634054120771944,0.633753187814735,0.633474080987416,0.633191663504856,0.632923257967003
REF_IAMCOMPACT+XIN,Africa_Southern,Percentage,0.590899124556969,0.579349556623999,0.524042314362202,0.467588047249347,0.465722566826397,0.463034949710729,0.460567657576147,0.458576381173066,0.456846413582199,0.455367741255428,0.454176445345136
REF_IAMCOMPACT+XIN,Africa_Western,Percentage,0.474444668161115,0.464803709820005,0.465294442880642,0.45798998873686,0.456905685926439,0.455337767543999,0.453959957263142,0.452683430014946,0.451636707869967,0.450800835552908,0.450197048251044
REF_IAMCOMPACT+XIN,Argentina,Percentage,0.850733418200117,0.787333049941838,0.704915632570191,0.617602585111914,0.616878795538057,0.615662062370704,0.614543994705107,0.613619091813951,0.612834970235354,0.612112825447114,0.611418714312234
REF_IAMCOMPACT+XIN,Australia_NZ,Percentage,0.774305205690632,0.673966174135873,0.646517556978274,0.593924863298371,0.592589681666804,0.591137732161866,0.589869593740208,0.588840582876368,0.587907879462466,0.587057590625447,0.58629061172433
REF_IAMCOMPACT+XIN,Brazil,Percentage,0.592490468356503,0.525480654138794,0.524006080994749,0.526102819759461,0.525112658329173,0.523837613542735,0.522717711750466,0.52190049754725,0.521210865091044,0.52057347876877,0.52004141581098
REF_IAMCOMPACT+XIN,Canada,Percentage,0.683960703356519,0.659879126590876,0.55833741347977,0.461057251451211,0.460497597777698,0.459861235441166,0.459319444070731,0.458887583714892,0.458476751387641,0.458069267228666,0.457694432642869
REF_IAMCOMPACT+XIN,Central America and Caribbean,Percentage,0.595997885935681,0.496877993296787,0.467028696548125,0.447456519728942,0.446453951913777,0.444961750986297,0.443845357163523,0.442945708893158,0.442128840004493,0.441378661389303,0.440718404683926
REF_IAMCOMPACT+XIN,Central Asia,Percentage,0.817680170151434,0.826217347797574,0.811984402135557,0.817014055734384,0.816715191162047,0.816353903400756,0.816062098346004,0.815817883402148,0.815594585665577,0.815386642667933,0.815207143380199
REF_IAMCOMPACT+XIN,China,Percentage,0.0734014565390428,0.136587711207226,0.146891628908398,0.144049967259228,0.143707300720782,0.143436805356043,0.143276388600992,0.143190548449827,0.143144628111984,0.143116739224104,0.143122218949895
