"Data Source","World Development Indicators",

"Last Updated Date","2023-09-19",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Belgium","BEL","Over-age students, primary (% of enrollment)","SE.PRM.OENR.ZS","","","","","","","","","","","","","","","","","","7.9321","","5.90538","5.21639","5.79967","5.11388","5.30543","4.98891","4.85286","4.23532","3.9816","3.92292","","","3.47053","3.56954","4.43476","4.47066","4.39651","4.16629","","","3.98094","3.93387","4.01288","4.10687","4.27382","4.43883","4.49471","4.43049","4.2827","4.29779","4.35263","4.38108","4.29923","4.28815","5.72777","5.06187","4.78887","4.70761","4.81181","","","","","",
"Benin","BEN","Over-age students, primary (% of enrollment)","SE.PRM.OENR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","19.93849","18.51262","19.09209","","18.23011","17.06515","20.89956","","17.48172","17.39276","16.54924","16.69361","16.16731","15.73832","","","","","","12.56116","12.56108","14.43944","11.4644","","11.15563","9.88909","9.51117","9.44335","8.87161","9.05616","7.69632","","","9.24437","7.87445","","","","",
"Burkina Faso","BFA","Over-age students, primary (% of enrollment)","SE.PRM.OENR.ZS","","","","","","","","","","","","12.14796","12.04405","","","","","12.81436","13.57816","13.67729","14.00862","13.57772","12.74331","13.43266","13.74218","12.28311","11.91534","13.36223","12.10929","12.32947","","14.07911","13.84664","13.02902","12.66982","12.31738","","","16.8693","14.79349","11.48646","10.01108","9.78376","10.87102","8.9498","8.10647","7.97327","7.72018","7.98794","9.75099","22.34017","20.47168","20.59713","20.95919","21.1202","20.23561","15.26894","15.82198","15.78314","","","","",
"Bangladesh","BGD","Over-age students, primary (% of enrollment)","SE.PRM.OENR.ZS","","","","","","","","","","","","","","","","","","","","","","","","5.34894","","","","","","","","","","","","","","","","","","","","","","3.5247","3.5247","","5.2039","9.0404","9.0404","","","","","","","","","","","","",
"Bulgaria","BGR","Over-age students, primary (% of enrollment)","SE.PRM.OENR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.49823","4.73471","4.9155","5.13594","5.49639","6.12243","6.48512","6.58227","6.45788","6.45135","6.05358","4.72001","3.81993","3.23516","2.42721","2.2808","2.234","2.28127","2.1492","2.01419","1.8632","1.56898","","","","","",
"Bahrain","BHR","Over-age students, primary (% of enrollment)","SE.PRM.OENR.ZS","","","","","","","","","","","","28.15995","27.77904","28.27782","27.52756","25.98658","26.88544","25.4738","26.04369","25.96968","24.30556","22.60015","23.10844","20.18838","17.62016","15.68221","12.48735","12.40254","10.62454","10.19959","","8.08745","7.97523","6.57203","6.09817","5.72799","4.9858","5.08809","5.23914","4.95269","5.59187","5.27409","5.05447","4.886","4.49775","4.38901","5.93952","","","","","2.8526","2.69461","3.2878","3.08075","2.51678","2.92657","2.80603","2.66513","","","","",
"Bahamas, The","BHS","Over-age students, primary (% of enrollment)","SE.PRM.OENR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.28034","6.82843","","","","","","6.32031","","","","","9.31799","9.92443","9.84104","11.42988","11.22906","10.41159","9.3475","9.01587","10.46583","8.99112","9.1689","7.26489","7.39194","","8.52427","","","","",
"Bosnia and Herzegovina","BIH","Over-age students, primary (% of enrollment)","SE.PRM.OENR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.01417","2.82477","2.32086","2.18821","2.36575","2.64124","3.58116","3.45321","3.78801","3.85055","","","","",
"Belarus","BLR","Over-age students, primary (% of enrollment)","SE.PRM.OENR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.19959","","","","","","14.35114","14.35697","5.97911","5.81962","5.51377","5.15234","4.60645","4.22049","4.78611","5.0171","5.07234","5.1464","5.06391","5.2798","5.22825","4.94145","5.25578","5.54387","","","","",
"Belize","BLZ","Over-age students, primary (% of enrollment)","SE.PRM.OENR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.24853","14.51951","14.5162","","13.40412","13.03984","12.90823","12.66093","12.52457","11.51287","11.29415","10.71795","9.97116","10.46917","9.83395","8.8826","8.95299","8.79751","8.82319","8.66165","","","","",
