"Data Source","World Development Indicators",

"Last Updated Date","2023-09-19",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Belgium","BEL","Over-age students, primary, male (% of male enrollment)","SE.PRM.OENR.MA.ZS","","","","","","","","","","","","","","","","","","8.34255","","6.20261","5.70878","6.39386","5.48936","5.76844","5.40691","5.28729","4.60539","4.29604","4.26271","","","3.73526","3.8906","4.90393","4.97712","4.85676","4.58945","","","4.43227","4.35516","4.4127","4.52793","4.74188","4.84046","4.93011","4.83086","4.66722","4.65029","4.69227","4.71683","4.61526","4.63715","5.80872","5.10761","4.85129","4.74608","4.88925","","","","","",
"Benin","BEN","Over-age students, primary, male (% of male enrollment)","SE.PRM.OENR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","20.11305","18.76535","19.30534","","18.4398","17.32893","21.26602","","17.36581","17.43353","16.85456","17.21102","16.91113","16.70253","","","","","","","","","12.2838","","11.90093","10.60648","10.12093","10.00605","9.39092","9.57749","8.12356","","","9.76242","8.41849","","","","",
"Burkina Faso","BFA","Over-age students, primary, male (% of male enrollment)","SE.PRM.OENR.MA.ZS","","","","","","","","","","","","12.41701","12.28854","","","","","12.82671","13.4925","13.91871","14.27196","13.72732","12.6321","13.93335","13.91855","12.57544","12.34722","13.44569","12.08294","12.41688","","14.58061","14.17942","13.39964","12.87074","12.40809","","","16.93383","14.87695","11.64869","10.17746","9.97418","10.96362","9.2796","8.41876","8.31867","8.05476","8.30864","10.05425","22.78349","20.88996","20.76819","20.82432","20.68756","19.90722","14.9837","15.44105","15.50521","","","","",
"Bangladesh","BGD","Over-age students, primary, male (% of male enrollment)","SE.PRM.OENR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","5.43494","","","","","","","","","","","","","","","","","","","","","","3.59757","3.59824","","3.6484","10.81217","10.8359","","","","","","","","","","","","",
"Bulgaria","BGR","Over-age students, primary, male (% of male enrollment)","SE.PRM.OENR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.4297","5.21857","4.97532","5.62988","5.9928","6.60201","6.99357","7.15317","6.97557","6.86174","6.49806","5.1658","4.19762","3.66514","2.73375","2.59703","2.45177","2.81772","2.71851","2.52141","2.27268","1.934","","","","","",
"Bahrain","BHR","Over-age students, primary, male (% of male enrollment)","SE.PRM.OENR.MA.ZS","","","","","","","","","","","","30.80632","30.73413","31.59032","29.70849","28.05006","28.88722","26.42359","26.99798","27.10971","26.08843","23.64293","24.59059","19.93637","18.24684","15.94785","11.48924","11.79019","9.28939","9.34727","","7.98394","8.16864","6.47206","6.09175","5.96481","5.13443","5.49036","5.93464","5.65083","6.72525","5.92392","5.7419","5.76298","4.97466","4.81764","6.59747","","","","","3.01083","2.93348","3.13937","2.96613","2.45337","2.61177","2.53467","2.39747","","","","",
"Bahamas, The","BHS","Over-age students, primary, male (% of male enrollment)","SE.PRM.OENR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.28626","6.84948","","","","","","7.03355","","","","","10.39996","11.35785","11.34635","12.94877","12.29464","11.75966","10.46736","9.89347","11.61756","10.11871","10.4716","8.32024","8.42553","","9.87231","","","","",
"Bosnia and Herzegovina","BIH","Over-age students, primary, male (% of male enrollment)","SE.PRM.OENR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.18171","2.94751","2.48419","2.31566","2.56478","2.83601","3.73411","3.6981","4.065","4.09173","","","","",
"Belarus","BLR","Over-age students, primary, male (% of male enrollment)","SE.PRM.OENR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.05147","","","","","","","","","","","","","4.2205","4.78598","5.017","5.0722","5.14637","5.8365","5.27933","5.96909","4.91068","5.25034","5.53119","","","","",
"Belize","BLZ","Over-age students, primary, male (% of male enrollment)","SE.PRM.OENR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.52891","16.02088","16.03175","","14.93563","14.65627","14.53199","14.3327","13.89802","12.64738","12.71529","12.25668","10.90572","11.80323","11.21423","10.19666","10.2114","10.21777","10.27891","9.98455","","","","",
"Bermuda","BMU","Over-age students, primary, male (% of male enrollment)","SE.PRM.OENR.MA.ZS","","","","","","","","","","","","","","","","","","","1.90045","","","","","","5.65013","3.3629","","","","","","","","","","","","","","","","","","","","0.04237","","","","","","1.38889","0.55046","","","","","","","","","","",
"Bolivia","BOL","Over-age students, primary, male (% of male enrollment)","SE.PRM.OENR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.37416","13.85802","15.12828","14.86136","14.5868","13.42346","12.87819","12.22316","12.18225","12.80061","14.57822","9.08881","9.97378","9.4999","11.95061","11.25968","10.38181","9.35224","8.41895","7.13894","5.71336","","","","",
"Brazil","BRA","Over-age students, primary, male (% of male enrollment)","SE.PRM.OENR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.65594","26.49139","","25.82716","22.05498","22.3156","23.11857","23.30506","22.74822","18.38501","17.42392","16.39569","15.64415","16.14093","","","","","",
"Barbados","BRB","Over-age students, primary, male (% of male enrollment)","SE.PRM.OENR.MA.ZS","","","","","","","","","","","","15.83706","11.19196","","","","","","","","","3.73802","","2.2623","","","","","","1.45498","","","","","","","","","","4.73069","5.80475","4.68154","5.00042","5.59328","4.73311","5.95575","6.63022","5.38441","4.37843","6.49396","4.57386","5.28592","","","2.65176","2.64091","2.34626","2.40038","2.38323","","","","",
"Brunei Darussalam","BRN","Over-age students, primary, male (% of male enrollment)","SE.PRM.OENR.MA.ZS","","","","","","","","","","","","","","","","","","22.54761","22.54063","25.96809","24.75099","28.2522","27.47699","26.77216","27.77778","","28.10202","","","","","17.3839","16.83523","16.14576","16.04201","","","","","","","","","","","5.0786","4.52584","5.07171","3.266","2.60026","3.21085","3.06719","2.42454","2.1941","2.74025","3.34967","4.16447","4.31549","4.38402","","","","",
"Bhutan","BTN","Over-age students, primary, male (% of male enrollment)","SE.PRM.OENR.MA.ZS","","","","","","","","","","","","","","","","","","","26.77966","27.37413","","","","","","","","","","","","","","","","","","","25.8256","26.37642","25.49627","24.22171","","","","23.44752","22.42951","","20.5335","19.04579","18.77057","19.56495","18.79045","15.24267","","14.98433","14.42618","13.36177","11.98436","","","","",
