GCAM_commodity,year,GCAM_region_ID,element,Mt,fatperc,proteinperc,Kcalperg,MKcal,gProteinPerKcal,gFatPerKcal
Beef,2015,2,Food,2.1430273273906337,12.777306298076772,11.835790099671692,1.6331281885929547,3499.8383372866665,7.2473123557245005,7.8238232536328
Corn,2015,2,Food,10.922899753793867,2.7164409312357725,8.590795719416915,3.52631084862846,38517.53990028445,2.4361992144731826,0.7703350747686687
Dairy,2015,2,Food,15.805331469070543,4.092589934159846,3.54435549078164,0.7023215880498006,11100.42549701111,5.0466275721689975,5.827230721362429
FiberCrop,2015,2,Food,0.029484147994675157,84.66093123566522,3.0764694837892295,7.620411663941502,224.68134528,0.4037143424083718,11.10975823475081
Fruits,2015,2,Food,15.458610946795726,0.4090578811632479,0.7206801492248983,0.6621803428991232,10236.388297493333,1.08834422065393,0.6177439205947012
Legumes,2015,2,Food,5.308820172260385,1.95705561606169,22.74998056998949,3.4128091741155613,18117.99018762,6.666057024968356,0.5734441969111462
MiscCrop,2015,2,Food,0.8394673373675776,5.63016029807894,8.607019416979309,1.4605667323736047,1226.098065873333,5.892931302763428,3.854777856626394
NutsSeeds,2015,2,Food,1.029213332977607,40.75978127174649,11.151875727473,4.262202957271099,4386.716111480001,2.61645816477333,9.563078455053953
OilCrop,2015,2,Food,0.8146845043340359,62.596452692136026,5.863798693422114,5.908031051667435,4813.1813489177775,0.9925131811497778,10.595146190788775
OilPalm,2015,2,Food,2.1523117962022855,26.928584832717778,0,2.3804900714108532,5123.55686144,0,11.31220212011131
OtherGrain,2015,2,Food,13.433550610219722,2.1953777945813235,9.403273812865656,3.343340717312897,44912.936733231116,2.8125382986461624,0.6566419579114234
OtherMeat_Fish,2015,2,Food,2.2317099555678506,7.92297360870539,11.966985307347159,1.3392276641639071,2988.7677108864696,8.935736340854536,5.916076721467503
Pork,2015,2,Food,0.24298458889981528,28.069774830455373,9.93795993553771,2.9656881577392955,720.6165178133333,3.3509794040899044,9.464843684661906
Poultry,2015,2,Food,0.687168416145982,9.212039577300533,11.178104343292578,1.3165342707760899,904.6807696511111,8.490553258976803,6.997189349176673
Rice,2015,2,Food,5.412148702679884,0.8180769355896896,5.514803371122971,2.6521780397479184,14353.981937097775,2.0793488553457506,0.3084547580627149
RootTuber,2015,2,Food,25.042053443909726,0.18340459937006587,1.1129242170109783,0.9316336859300398,23330.020553206665,1.1945942206887443,0.19686342619414307
SheepGoat,2015,2,Food,0.845977896692864,12.48980492611532,12.997439746132166,1.6915439336112277,1431.00877912,7.683773083199981,7.383671613808576
Soybean,2015,2,Food,0.128732115211249,54.41769369161802,19.990294898270413,5.81700204312781,748.8349772,3.4365287737670456,9.354938039931914
SugarCrop,2015,2,Food,23.67218415231977,0.010730214660491177,0.0126180923757982,0.5504513481112516,13030.385679382221,0.022923174625867137,0.019493484205842106
Vegetables,2015,2,Food,9.88776422934456,0.5251430794847124,1.4403192205918312,0.3266686805578068,3230.022894466667,4.4091132891356395,1.6075709449341713
Wheat,2015,2,Food,7.766811425514942,1.5380337130245092,10.702830202058987,3.5919314970320553,27897.854590815557,2.9796866145422127,0.4281912709903731
Beef,2015,3,Food,1.900543839686123,9.769839933980938,12.389030607616608,1.3977930393011795,2656.5669499999995,8.86327965534186,6.9894753080651535
Corn,2015,3,Food,7.244899010009442,4.542453470659426,9.246877725480871,3.69439085086227,26765.488618,2.502950580695232,1.2295541143404518
Dairy,2015,3,Food,12.444820932606945,5.576986999297658,4.533312169890992,0.8694973475792125,10820.738792,5.213715927382977,6.414035666497058
FiberCrop,2015,3,Food,9.454810795205607e-4,60.70983464746506,0,5.372316918891387,5.079424,0,11.300493914270593
Fruits,2015,3,Food,19.145320422935736,0.2881416707382424,0.6977932115267196,0.5905208061583029,11305.710050311032,1.1816572832823433,0.48794499318792717
Legumes,2015,3,Food,1.0863126207699616,2.777042305594993,25.01926852611527,3.4884270232578585,3789.522302,7.172077374503783,0.7960729254417654
MiscCrop,2015,3,Food,0.6818686743401796,5.465424629861877,8.265144457565322,1.2276651905295963,837.1064359999999,6.732409227958857,4.451885312072891
NutsSeeds,2015,3,Food,0.5455617970149689,33.66839828316017,10.075430245345395,3.621202145768639,1975.58955,2.78234405033657,9.297574928950478
OilCrop,2015,3,Food,1.9959463720905237,37.25169173182522,1.3001193720406221,3.3840098513897687,6754.302186000001,0.3841949134712714,11.00815108931389
OilPalm,2015,3,Food,0.1953491818938571,27.088211727834217,0,2.394597916740545,467.78274400000004,0,11.312217194570135
OtherGrain,2015,3,Food,2.07358254931053,1.4975116756284677,8.638676840594089,3.121965760350517,6473.6537202078125,2.76706328759486,0.4796694744853112
OtherMeat_Fish,2015,3,Food,4.008725809920573,4.146172968526223,11.934032860855893,0.9023262421810955,3617.178495999999,13.225851474749364,4.594982141386167
Pork,2015,3,Food,0.0019944180359568976,28.28636743155003,11.227625487647336,3.031282254273926,6.045644,3.7039195118887585,9.331485839587504
Poultry,2015,3,Food,3.789413137988319,8.6603185716898885,11.878694509293569,1.2996989181851466,4925.0961560000005,9.13957405295109,6.663326752462678
Rice,2015,3,Food,4.990128966628869,0.5715639497235839,5.411008454022075,2.8139973299099634,14042.209588000002,1.9228904009639574,0.20311460272134363
RootTuber,2015,3,Food,7.878921302930989,0.12647176254709983,1.524118399751031,0.7321738212887096,5768.739918,2.081634654826102,0.17273461419925543
SheepGoat,2015,3,Food,0.7599734133094442,14.512059095118913,12.7044750508014,1.8707129579822797,1421.692112,6.791247687996046,7.757501776633537
