Title: gcam macronutrients by region,,,,
Source: DF_Macronutrient_FoodItem2 - module_aglu_L100.FAO_SUA_connection,,,,
Units: ratio,,,,
"Comments: Some regions had missing values for OilPalm and FiberCrop. They have been filled with the values of the more similar region: 8 with 1, 14 with 15, 23 with 15, 31 with 7, 18 with 29, 19 with 28, and 30 with 29",,,,
########,,,,
GCAM_region_ID,GCAM_commodity,calperg,fatperc,proteinperc
5,Soybean,5608.65202,51.60985454,19.45949863
5,SugarCrop,566.6866473,0.007685035,0.008327004
5,Vegetables,304.8059591,0.468389911,1.452155741
5,Wheat,3539.581866,1.678640677,10.32145113
5,Beef,1290.745595,8.388321334,12.66020693
6,Corn,3287.467305,6.504748179,6.532913141
6,Dairy,1037.290562,7.716691515,4.526639444
6,FiberCrop,6502.462609,73.55726933,0
6,Fruits,348.9978709,0.39502232,0.378738605
6,Legumes,3434.529491,2.286261853,22.05889444
6,MiscCrop,1659.535647,10.40553082,7.101676508
6,NutsSeeds,3042.911869,26.93795734,10.30652853
6,OilCrop,5930.116363,66.46881217,0.572641354
6,OilPalm,2377.050331,26.88970963,0
6,OtherGrain,2219.936328,0.401717348,3.274724053
6,OtherMeat_Fish,1115.992217,6.372784794,11.11277877
6,Pork,2151.048772,19.7091483,11.21247861
6,Poultry,1298.437367,8.516096669,12.36567502
6,Rice,2646.026102,0.47559128,5.112226837
6,RootTuber,654.3995381,0.106514471,1.368507675
6,SheepGoat,2274.03136,16.90401929,11.28870578
6,Soybean,4299.7901,45.00381816,3.800530082
6,SugarCrop,635.7250359,0.005537969,0.00210278
6,Vegetables,278.3778261,0.271720776,1.197479526
6,Wheat,3380.737829,2.264559398,10.27324
6,Beef,1072.744439,7.267513563,9.809129051
7,Corn,3594.578802,2.898521348,7.886665398
7,Dairy,655.3804869,3.614211016,3.298223551
7,FiberCrop,6599.493219,74.65490067,0
7,Fruits,433.413912,0.294965105,0.568420778
7,Legumes,3371.678282,1.610669299,22.00779602
7,MiscCrop,670.3368276,1.820413406,8.475733648
7,NutsSeeds,3207.896805,27.48453803,12.08359067
7,OilCrop,2378.777759,20.89328898,6.846775987
7,OilPalm,2805.971332,31.74175715,0
7,OtherGrain,2978.389365,0.724124357,4.616108011
7,OtherMeat_Fish,961.9707346,4.739623379,11.96273802
7,Pork,4100.64413,41.26712939,8.908776833
7,Poultry,1259.257724,8.078228938,11.37462127
7,Rice,2788.335531,0.650139102,5.469385529
7,RootTuber,785.9122464,0.156594145,0.887197813
7,SheepGoat,1901.655586,15.72426186,11.95330343
7,Soybean,8470.10043,95.81561573,0
7,SugarCrop,578.5294655,0.014339745,0.01991921
7,Vegetables,265.2091295,0.209010201,1.073918315
7,Wheat,3528.645696,1.251725247,9.378895948
7,Beef,1074.526613,5.951738775,12.5664999
8,Corn,3887.195455,10.50929591,6.830171925
8,Dairy,1361.739081,11.03237432,6.324223421
8,FiberCrop,5984.490599,67.69785746,0
8,Fruits,332.0184432,0.317657034,0.374137805
8,Legumes,3459.243132,2.047160505,23.62602637
8,MiscCrop,953.1412255,2.889996969,6.011601198
8,NutsSeeds,3619.288318,32.07737801,13.15783288
8,OilCrop,7028.126483,77.90026833,1.69493784
8,OilPalm,2416.24501,27.33308835,0
8,OtherGrain,2438.776557,0.785151423,4.561900607
8,OtherMeat_Fish,690.8952877,1.993844155,8.910903884
8,Pork,3086.147139,29.79476588,9.448214558
8,Poultry,1306.897238,8.494973118,12.45111862
8,Rice,2687.808263,0.641133814,5.056382824
8,RootTuber,682.9435933,0.115433073,1.515082742
8,SheepGoat,2453.944174,20.84798969,13.36710577
8,Soybean,4584.049493,42.59615669,16.36047065
8,SugarCrop,616.9329901,0.009601597,0.003420388
8,Vegetables,280.4021728,0.278583961,1.184943809
8,Wheat,3481.299274,1.544569168,11.13821575
8,Beef,1756.576937,13.69052828,12.87846081
9,Corn,3261.668405,2.579881427,8.404181265
9,Dairy,747.5412835,4.292979542,4.048710635
9,FiberCrop,6166.388035,69.77669297,0
9,Fruits,507.1721764,0.93318309,0.599156537
9,Legumes,3376.910253,1.659470284,21.76985699
9,MiscCrop,1383.286387,7.239199425,7.539366524
9,NutsSeeds,3780.541888,33.01451355,13.49644076
9,OilCrop,2507.592842,25.61346118,2.267994268
9,OilPalm,2556.003207,28.91525063,0
9,OtherGrain,3457.570873,1.608353391,7.159481085
9,OtherMeat_Fish,1443.702716,9.536256013,13.0846305
9,Pork,3255.575204,31.57458488,10.95500576
9,Poultry,1266.232097,8.56922209,10.782426
9,Rice,2615.383409,0.472580583,5.141558087
9,RootTuber,848.4817812,0.172184403,1.104219762
9,SheepGoat,1565.189137,12.93832237,12.50806441
