Title: GramProteinFatPerKcal,,,,,,,,
Source: DF_Macronutrient_FoodItem3 - module_aglu_L100.FAO_SUA_connection,,,,,,,,
#######,,,,,,,,
GCAM_commodity,GCAM_region_ID,Mt,fatperc,proteinperc,Kcalperg,MKcal,gProteinPerKcal,gFatPerKcal
Vegetables,4,6.063048924,0.229088987,1.296334057,0.25069338,1519.96623,5.170994363,0.913821445
Wheat,4,2.759273625,1.690494874,10.50161127,3.557335771,9815.662768,2.952100095,0.475213751
Beef,5,2.393031566,10.05692424,10.16141828,1.328807233,3179.877654,7.647022104,7.568384627
Corn,5,13.45343955,3.4270079,8.995127904,3.401403114,45760.57116,2.644534506,1.007527713
Dairy,5,6.587255813,3.909065397,3.58942701,0.700168513,4612.189106,5.126518752,5.58303512
FiberCrop,5,0.297396443,65.18228596,0,5.7621242,1713.635242,0,11.31219732
Fruits,5,30.63799404,0.313315761,0.635486851,0.610634416,18708.6136,1.040699369,0.513098759
Legumes,5,4.860315622,1.910410839,22.40283577,3.39248126,16488.52967,6.603672668,0.563130845
MiscCrop,5,0.622541864,9.065209401,9.583532588,2.505144582,1559.557377,3.825540713,3.618637211
NutsSeeds,5,5.040016851,39.35773964,11.50369166,4.38025921,22076.58023,2.626258199,8.985253555
OilCrop,5,1.958299831,35.83648735,8.44177419,3.699140504,7244.026225,2.282090713,9.687787557
OilPalm,5,11.32300647,24.71181461,0.005094143,2.185419427,24745.51831,0.002330968,11.3075844
OtherGrain,5,17.52508212,2.663935972,8.663044949,3.129795994,54849.9318,2.767926397,0.851153231
OtherMeat_Fish,5,7.494794943,4.376094873,11.99562523,0.918044212,6880.553119,13.06650058,4.766758305
Pork,5,0.64040128,27.29767199,11.12901686,2.93783876,1881.395702,3.788164624,9.291752957
Poultry,5,2.301942229,7.910540692,11.29609069,1.219268571,2806.685813,9.264645179,6.487939474
Rice,5,21.33225741,0.727873457,5.16601383,2.638638501,56288.11571,1.957833113,0.275851905
RootTuber,5,108.4109669,0.193396348,1.0300232,1.021795907,110773.8822,1.008051797,0.189271015
SheepGoat,5,1.388539696,9.990723512,11.95568262,1.428301827,1983.253785,8.370557535,6.994826531
Soybean,5,0.41285299,51.60985454,19.45949863,5.60865202,2315.548756,3.469550002,9.201828596
SugarCrop,5,28.16710514,0.007685035,0.008327004,0.566686647,15961.92238,0.014694195,0.013561349
Vegetables,5,26.02079441,0.468389911,1.452155741,0.304805959,7931.293198,4.764197345,1.536682262
Wheat,5,7.490518024,1.678640677,10.32145113,3.539581866,26513.30177,2.916008591,0.474248298
Beef,31,2.462330163,14.52710106,13.35397706,2.104450665,5181.852348,6.345588081,6.903037124
Corn,31,0.540684349,5.684104146,6.175017627,3.066291262,1657.895696,2.013839228,1.853739146
Dairy,31,3.651988668,7.673727155,6.074225981,1.114168599,4068.931098,5.451801448,6.887402106
FiberCrop,31,0.003385859,95.79252133,0,8.468058886,28.671656,0,11.31221719
Fruits,31,3.353907146,0.267050985,0.523444595,0.396628808,1330.256194,1.319734181,0.673302039
Legumes,31,0.095546714,1.817995569,22.66193156,3.408115195,325.634208,6.649403046,0.533431373
MiscCrop,31,0.323204078,2.644228162,9.523640548,0.71489569,231.057202,13.32172047,3.698760811
NutsSeeds,31,0.026192914,36.1692199,7.566251714,3.637980363,95.289306,2.079794545,9.942115211
OilCrop,31,0.624699297,74.11621977,0.140027697,6.559676596,4097.825356,0.021346738,11.29876126
OilPalm,31,0,27.20257901,5.53E-04,2.403417193,0,2.30E-04,11.31829259
OtherGrain,31,0.457195635,0.386077147,3.262482816,2.167853009,991.132934,1.504937282,0.17809194
OtherMeat_Fish,31,0.622666381,6.236976937,12.79071365,1.129953124,703.583822,11.31968519,5.51967759
Pork,31,0.522745727,42.09221676,10.77023182,3.860044236,2017.821632,2.790183522,10.9045944
Poultry,31,2.426770974,8.242365229,11.20341083,1.272887643,3089.006784,8.801570898,6.475328184
Rice,31,0.54092455,0.801215811,5.523480939,2.72809089,1475.691336,2.024668958,0.293691025
RootTuber,31,2.113633255,0.133729627,1.456929045,0.699569689,1478.633758,2.08260745,0.191159837
