# Source: calibrate_sw_plant.R
region,conv_factor
Africa_Eastern,0.970318035280264
Africa_Northern,0.996272460709809
Africa_Southern,0.9805939146525
Africa_Western,0.976961960896862
Argentina,1.0007627205629
Australia_NZ,1.00596513280172
Brazil,1.00643248919618
Canada,1.01224532169143
Central America and Caribbean,1.00097384361991
Central Asia,0.995244689133545
China,1.00004364141096
Colombia,1.00498969537664
EU-12,1.00222733460735
EU-15,1.00685394675695
Europe_Eastern,0.997033619205902
Europe_Non_EU,1.00761130290857
European Free Trade Association,1.00790926211183
India,0.986474942626056
Indonesia,0.99456730238587
Japan,1.00818898939046
Mexico,1.00653311316626
Middle East,1.01037136949867
Pakistan,0.96481087724722
Russia,1.00731954997115
South Africa,0.999420517509447
South America_Northern,0.996369876862946
South America_Southern,0.998963134923553
South Asia,0.971423947043167
South Korea,1.01231106684189
Southeast Asia,0.994848153036152
Taiwan,1.01089901054406
USA,1.01059392092278
