"Data Source","World Development Indicators",

"Last Updated Date","2023-09-19",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Belgium","BEL","Over-age students, primary, female (% of female enrollment)","SE.PRM.OENR.FE.ZS","","","","","","","","","","","","","","","","","","7.49843","","5.59313","4.6969","5.1731","4.71844","4.82154","4.55339","4.40049","3.84938","3.65506","3.57031","","","3.19678","3.23657","3.93717","3.9326","3.90748","3.71734","","","3.50274","3.48903","3.59085","3.66283","3.77995","4.01763","4.03815","4.01063","3.88087","3.92966","3.99735","4.02971","3.96809","3.92156","5.64324","5.01406","4.72357","4.66736","4.7308","","","","","",
"Benin","BEN","Over-age students, primary, female (% of female enrollment)","SE.PRM.OENR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","19.58698","18.00579","18.66915","","17.81798","16.54887","20.18529","","17.71095","17.31379","15.98655","15.76438","14.8707","14.11297","","","","","","","","","10.43914","","10.26397","9.04794","8.80866","8.79727","8.28351","8.47083","7.22118","","","8.67436","7.27722","","","","",
"Burkina Faso","BFA","Over-age students, primary, female (% of female enrollment)","SE.PRM.OENR.FE.ZS","","","","","","","","","","","","11.67737","11.62599","","","","","12.79317","13.72536","13.26385","13.56123","13.32177","12.93393","12.57509","13.43894","11.78082","11.17701","13.21986","12.15376","12.18452","","13.27433","13.32028","12.44482","12.35511","12.17615","","","16.7722","14.67052","11.25125","9.77441","9.51855","10.7439","8.51648","7.70434","7.53745","7.30836","7.60539","9.39711","21.83566","20.0043","20.40985","21.10384","21.58082","20.58503","15.57105","16.2225","16.07574","","","","",
"Bangladesh","BGD","Over-age students, primary, female (% of female enrollment)","SE.PRM.OENR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","5.20219","","","","","","","","","","","","","","","","","","","","","","3.45219","3.4522","","6.72824","7.28087","7.28088","","","","","","","","","","","","",
"Bulgaria","BGR","Over-age students, primary, female (% of female enrollment)","SE.PRM.OENR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.57185","4.21454","4.85111","4.60365","4.96117","5.60466","5.93899","5.96958","5.90333","6.01298","5.57759","4.24359","3.41888","2.77966","2.10139","1.94373","2.0009","1.70687","1.54083","1.47147","1.4255","1.18092","","","","","",
"Bahrain","BHR","Over-age students, primary, female (% of female enrollment)","SE.PRM.OENR.FE.ZS","","","","","","","","","","","","24.52645","23.77527","23.87004","24.65342","23.30351","24.29864","24.27083","24.84672","24.56754","22.15319","21.39133","21.34187","20.46781","16.93605","15.40419","13.51975","13.02785","11.99826","11.08741","","8.19627","7.77162","6.67636","6.10482","5.48158","4.83029","4.66375","4.50961","4.21789","4.40743","4.59373","4.33009","3.96994","4.0001","3.9378","5.24861","","","","","2.68782","2.44425","3.44124","3.19892","2.58216","3.25012","3.08387","2.9395","","","","",
"Bahamas, The","BHS","Over-age students, primary, female (% of female enrollment)","SE.PRM.OENR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.27427","6.80712","","","","","","5.57007","","","","","8.20042","8.43692","8.28137","9.85227","10.12441","9.05428","8.20763","8.12548","9.29123","7.84025","7.84725","6.18467","6.36541","","7.15263","","","","",
"Bosnia and Herzegovina","BIH","Over-age students, primary, female (% of female enrollment)","SE.PRM.OENR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.83917","2.6963","2.14835","2.05359","2.15537","2.43528","3.41997","3.19316","3.49365","3.59483","","","","",
"Belarus","BLR","Over-age students, primary, female (% of female enrollment)","SE.PRM.OENR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.35948","","","","","","","","","","","","","4.22047","4.78626","5.01722","5.07249","5.14643","4.25026","5.2803","4.44611","4.97393","5.26157","5.55732","","","","",
"Belize","BLZ","Over-age students, primary, female (% of female enrollment)","SE.PRM.OENR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.88756","12.90949","12.90573","","11.79766","11.33697","11.17691","10.89552","11.09626","10.31372","9.79711","9.09552","8.98076","9.0655","8.35956","7.46764","7.59175","7.25147","7.23337","7.2133","","","","",
